종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
95570,AJ네트웍스,KOSPI,일반서비스,4285,10,0.23,1.93908E+11
6840,AK홀딩스,KOSPI,기타금융,11480,-190,-1.63,1.52082E+11
27410,BGF,KOSPI,기타금융,3990,-5,-0.13,3.8191E+11
282330,BGF리테일,KOSPI,유통,121200,-1200,-0.98,2.09481E+12
138930,BNK금융지주,KOSPI,기타금융,14660,40,0.27,4.6675E+12
1460,BYC,KOSPI,섬유·의류,39950,-500,-1.24,2.49534E+11
1465,BYC우,KOSPI,섬유·의류,26200,-50,-0.19,56430870000
1040,CJ,KOSPI,기타금융,165800,10600,6.83,4.83755E+12
79160,CJ CGV,KOSPI,오락·문화,4915,-60,-1.21,8.1383E+11
00104K,CJ4우(전환),KOSPI,기타금융,135000,7000,5.47,5.70579E+11
120,CJ대한통운,KOSPI,운송·창고,87200,-800,-0.91,1.98924E+12
11150,CJ씨푸드,KOSPI,음식료·담배,3040,30,1,1.0923E+11
11155,CJ씨푸드1우,KOSPI,음식료·담배,17240,-110,-0.63,3448000000
1045,CJ우,KOSPI,기타금융,91900,3300,3.72,2.07714E+11
97950,CJ제일제당,KOSPI,음식료·담배,252000,1000,0.4,3.79365E+12
97955,CJ제일제당 우,KOSPI,음식료·담배,143700,600,0.42,1.90752E+11
480,CR홀딩스,KOSPI,비금속,5220,0,0,2.44768E+11
590,CS홀딩스,KOSPI,기타금융,88800,100,0.11,1.02518E+11
12030,DB,KOSPI,IT 서비스,1325,-5,-0.38,2.66555E+11
5830,DB손해보험,KOSPI,보험,127600,-1800,-1.39,9.03408E+12
16610,DB증권,KOSPI,증권,9000,-100,-1.1,3.82018E+11
990,DB하이텍,KOSPI,전기·전자,45900,450,0.99,2.0379E+12
300,DH오토넥스,KOSPI,운송장비·부품,1984,0,0,1.62944E+11
1530,DI동일,KOSPI,유통,43350,50,0.12,8.5467E+11
15590,DKME,KOSPI,기계·장비,515,0,0,1.22045E+11
210,DL,KOSPI,화학,46000,-600,-1.29,9.63971E+11
215,DL우,KOSPI,화학,24600,-300,-1.2,41478429000
375500,DL이앤씨,KOSPI,건설,47300,-150,-0.32,1.83021E+12
37550L,DL이앤씨2우(전환),KOSPI,건설,31750,-350,-1.09,67054444250
37550K,DL이앤씨우,KOSPI,건설,22450,-450,-1.97,47456718250
7340,DN오토모티브,KOSPI,전기·전자,25650,-250,-0.97,1.5008E+12
4840,DRB동일,KOSPI,화학,5270,0,0,1.05031E+11
155660,DSR,KOSPI,금속,3900,25,0.65,62400000000
69730,DSR제강,KOSPI,금속,3595,-10,-0.28,51768000000
17860,DS단석,KOSPI,화학,24600,-250,-1.01,4.32572E+11
